id,name,period,img1_url,img1_caption,img1_desc,img2_url,img2_caption,img2_desc,img3_url,img3_caption,img3_desc
T1-g1_naucdx,Tiền Đông Dương,Thời kỳ Pháp thuộc,https://res.cloudinary.com/ddknyhb2g/image/upload/v1775273503/T1-g1_naucdx.jpg,Tiền Đông Dương,"Tiền Đông Dương (piastre) là đơn vị tiền tệ do Ngân hàng Đông Dương phát hành thời Pháp thuộc (1885-1954), gồm cả tiền xu và tiền giấy. Được chia làm 100 cent, đồng bạc này ban đầu tương đương peso Mexico, sau đó neo theo Franc Pháp, được sử dụng để kiểm soát tài chính và khai thác thuộc địa",,,,,,
,,,,,,,,,,,
